"id","sku","name","nameTa","categoryName","packing","mrp","offerPrice","discountPercent","stock","moq","imageUrl"
"prod-1","MYL-SND-01","2 3/4"" Kuruvi",,"One Sound / 2 Sound Crackers","1 Box","35.0","7.0","80","500","1","/products/single-sound/kuruvi.jpg"
"prod-2","MYL-SND-02","3 1/2"" Laxmi",,"One Sound / 2 Sound Crackers","1 Box","60.0","12.0","80","500","1","/categories/single-sound.jpg"
"prod-3","MYL-SND-03","4"" Laxmi",,"One Sound / 2 Sound Crackers","1 Box","80.0","16.0","80","500","1","/products/single-sound/hulk-4.jpg"
"prod-4","MYL-SND-04","4"" Deluxe Laxmi",,"One Sound / 2 Sound Crackers","1 Box","125.0","25.0","80","500","1","/categories/single-sound.jpg"
"prod-5","MYL-SND-05","4"" Gold Laxmi",,"One Sound / 2 Sound Crackers","1 Box","160.0","32.0","80","500","1","/products/single-sound/gold-lakshmi.jpg"
"prod-6","MYL-SND-06","5"" Laxmi",,"One Sound / 2 Sound Crackers","1 Box","240.0","48.0","80","500","1","/products/single-sound/hulk-5.jpg"
"prod-7","MYL-SND-07","6""Lion",,"One Sound / 2 Sound Crackers","1 Box","290.0","58.0","80","500","1","/products/single-sound/2-sound.jpg"
"prod-8","MYL-BJL-01","Red Bijili 100",,"Bijili Crackers","1 Bag (100 Pcs)","250.0","30.0","88","500","1","/categories/bijili-crackers.jpg"
"prod-9","MYL-BJL-02","Stripped Bijili 100",,"Bijili Crackers","1 Bag (100 Pcs)","225.0","45.0","80","500","1","/categories/bijili-crackers.jpg"
"prod-10","MYL-SD-01","28 Chorsa",,"SOUND CRACKERS","1 pocket","125.0","25.0","80","500","1","/categories/sound-crackers.jpg"
"prod-11","MYL-SD-02","56 Giant",,"SOUND CRACKERS","1 pocket","500.0","100.0","80","500","1","/categories/sound-crackers.jpg"
"prod-12","MYL-SD-03","100 watts",,"SOUND CRACKERS","1 BOX","150.0","30.0","80","500","1","/categories/sound-crackers.jpg"
"prod-13","MYL-SD-04","200 Watts",,"SOUND CRACKERS","1 BOX","325.0","65.0","80","500","1","/categories/sound-crackers.jpg"
"prod-14","MYL-SD-05","1k watts",,"SOUND CRACKERS","1 BOX (10 PCS)","900.0","180.0","80","500","1","/categories/sound-crackers.jpg"
"prod-15","MYL-SD-06","2k watts",,"SOUND CRACKERS","1 BOX (10 PCS)","1800.0","360.0","80","500","1","/categories/sound-crackers.jpg"
"prod-16","MYL-SD-07","5k watts",,"SOUND CRACKERS","1 BOX (10 PCS)","4500.0","900.0","80","500","1","/categories/sound-crackers.jpg"
"prod-17","MYL-SD-08","10k watts",,"SOUND CRACKERS","1 BOX (10 PCS)","9000.0","1800.0","80","500","1","/categories/sound-crackers.jpg"
"prod-18","MYL-GCK-01","Ground Chakkar Big 10Pcs",,"Ground Chakkars","1 Box (10 Pcs)","195.0","39.0","80","500","1","/categories/ground-chakkar.jpg"
"prod-19","MYL-GCK-02","Ground Chakkar Special",,"Ground Chakkars","1 Box (10 Pcs)","340.0","68.0","80","500","1","/categories/ground-chakkar.jpg"
"prod-20","MYL-GCK-03","Ground Chakkar Deluxe",,"Ground Chakkars","1 Box (10 Pcs)","550.0","110.0","80","500","1","/categories/ground-chakkar.jpg"
"prod-21","MYL-GCK-04","Spinner Deluxe",,"Ground Chakkars","1 Box (5 Pcs)","850.0","170.0","80","500","1","/categories/ground-chakkar.jpg"
"prod-22","MYL-GCK-05","Wire Chakkar",,"Ground Chakkars","1 BOX (10 PCS)","1000.0","200.0","80","500","1","/categories/ground-chakkar.jpg"
"prod-23","MYL-TWN-01","1 1/2' Twinkling Stars",,"Twinkling Stars","1 Box (10 Pcs)","120.0","24.0","80","500","1","/categories/twinkling-star.jpg"
"prod-24","MYL-TWN-02","4' Twinkling Stars",,"Twinkling Stars","1 Box (10 Pcs)","325.0","65.0","80","500","1","/categories/twinkling-star.jpg"
"prod-25","MYL-FLP-01","Flower Pots Big",,"Flower Pots","1 Box (10 Pcs)","330.0","66.0","80","500","1","/products/flower-pots/dass-deluxe.jpg"
"prod-26","MYL-FLP-02","Flower Pots Special",,"Flower Pots","1 Box (10 Pcs)","440.0","88.0","80","500","1","/products/flower-pots/special.jpg"
"prod-27","MYL-FLP-03","Flower Pots Asoka",,"Flower Pots","1 Box (10 Pcs)","550.0","110.0","80","500","1","/products/flower-pots/asoka.jpg"
"prod-28","MYL-FLP-04","Colour Kotti",,"Flower Pots","1 Box (10 Pcs)","1000.0","200.0","80","500","1","/categories/flower-pots.jpg"
"prod-29","MYL-FLP-05","Colour Kotti Deluxe",,"Flower Pots","1 Box (10 Pcs)","1575.0","315.0","80","500","1","/products/flower-pots/giant.jpg"
"prod-30","MYL-RKT-01","Rocket Bomb",,"Rockets","1 Box (10 Pcs)","700.0","140.0","80","500","1","/categories/rockets.jpg"
"prod-31","MYL-RKT-02","Musical Rocket",,"Rockets","1 Box (10 Pcs)","1000.0","200.0","80","500","1","/categories/rockets.jpg"
"prod-32","MYL-PNC-01","Hi tech pencil",,"Pencils","1 BOX","500.0","100.0","80","500","1","/categories/candles.jpg"
"prod-33","MYL-PNC-02","Nayagara Falls Handle",,"Pencils","1 Box (5 Pcs)","820.0","164.0","80","500","1","/categories/candles.jpg"
"prod-34","MYL-BMB-01","King Bomb",,"Bombs","1 Box (10 Pcs)","550.0","110.0","80","500","1","/categories/bombs.jpg"
"prod-35","MYL-BMB-02","Classic Bomb",,"Bombs","1 Box (10 Pcs)","650.0","130.0","80","500","1","/categories/bombs.jpg"
"prod-36","MYL-BMB-03","Jurassic Bomb Or Digital Bomb",,"Bombs","1 Box (10 Pcs)","1050.0","210.0","80","500","1","/categories/bombs.jpg"
"prod-37","MYL-BMB-04","Paper Bomb 1/4 Kg",,"Bombs","1 Box","225.0","45.0","80","500","1","/categories/bombs.jpg"
"prod-38","MYL-BMB-05","Paper Bomb 1/2 Kg",,"Bombs","1 Box","450.0","90.0","80","500","1","/categories/bombs.jpg"
"prod-39","MYL-BMB-06","Paper Bomb 1 Kg",,"Bombs","1 Box","900.0","180.0","80","500","1","/categories/bombs.jpg"
"prod-40","MYL-FTN-01","Tom and Jerry",,"Fountains","1 Box (5 Pcs)","125.0","25.0","80","500","1","/categories/fountains.jpg"
"prod-41","MYL-FTN-02","Tricolour Fountain",,"Fountains","1 Box (5 Pcs)","1400.0","280.0","80","500","1","/products/fountains/tri-colors.png"
"prod-42","MYL-FTN-03","Colour Rain",,"Fountains","1 Box (5 Pcs)","650.0","130.0","80","500","1","/categories/fountains.jpg"
"prod-43","MYL-FTN-04","Fox Star",,"Fountains","1 Box","700.0","140.0","80","500","1","/products/fountains/jet-fountain.jpg"
"prod-44","MYL-FTN-05","Sing Pop",,"Fountains","1 Box","725.0","145.0","80","500","1","/categories/fountains.jpg"
"prod-45","MYL-FTN-06","Mega Siren",,"Fountains","1 Box (3 Pcs)","900.0","180.0","80","500","1","/categories/fountains.jpg"
"prod-46","MYL-FTN-07","Mini Siren",,"Fountains","1 Box (3 Pcs)","600.0","120.0","80","500","1","/categories/fountains.jpg"
"prod-47","MYL-FTN-08","Peacock Feather",,"Fountains","1 Box (2 Pcs)","850.0","170.0","80","500","1","/products/fountains/mori-barat-koti.jpg"
"prod-48","MYL-FTN-09","H2O Falls",,"Fountains","1 Box (1 Pc)","750.0","150.0","80","500","1","/categories/fountains.jpg"
"prod-49","MYL-FTN-10","LION Fountain",,"Fountains","1 Box","1250.0","250.0","80","500","1","/categories/fountains.jpg"
"prod-50","MYL-FTN-11","Water Queen",,"Fountains","1 Box (1 Pc)","750.0","150.0","80","500","1","/categories/fountains.jpg"
"prod-51","MYL-FTN-12","Peacock Multicolour",,"Fountains","1 Box (1 Pc)","850.0","170.0","80","500","1","/categories/fountains.jpg"
"prod-52","MYL-FTN-13","Bada Peacock",,"Fountains","1 Box (1 Pc)","1700.0","340.0","80","500","1","/categories/fountains.jpg"
"prod-53","MYL-FTN-14","Colour Smoke",,"Fountains","1 Box (3 Pcs)","650.0","130.0","80","500","1","/categories/fountains.jpg"
"prod-54","MYL-FTN-15","4x4 Whistling Wheel",,"Fountains","1 Box (3 Pcs)","1100.0","220.0","80","500","1","/categories/fountains.jpg"
"prod-55","MYL-FTN-16","Lotus Wheel",,"Fountains","1 Box (3 Pcs)","575.0","115.0","80","500","1","/categories/fountains.jpg"
"prod-56","MYL-FTN-17","Tin",,"Fountains","1 Box (1 Pc)","600.0","120.0","80","500","1","/categories/fountains.jpg"
"prod-57","MYL-KDS-01","Elephant Fountain",,"KIDS SPECIAL","1 Box","1150.0","230.0","80","500","1","/categories/kids-special.jpg"
"prod-58","MYL-KDS-02","Race Car",,"KIDS SPECIAL","1 Box (2 Pcs)","1250.0","250.0","80","500","1","/categories/kids-special.jpg"
"prod-59","MYL-KDS-03","GULFI",,"KIDS SPECIAL","1 BOX","1100.0","220.0","80","500","1","/categories/kids-special.jpg"
"prod-60","MYL-KDS-04","Murugar Vel special",,"KIDS SPECIAL","1 Box","1100.0","220.0","80","500","1","/categories/kids-special.jpg"
"prod-61","MYL-KDS-05","Drone",,"KIDS SPECIAL","1 Box (5 Pcs)","775.0","155.0","80","500","1","/categories/kids-special.jpg"
"prod-62","MYL-KDS-06","Helicopter",,"KIDS SPECIAL","1 Box (5 Pcs)","500.0","100.0","80","500","1","/categories/kids-special.jpg"
"prod-63","MYL-KDS-07","Free Fire Gun",,"KIDS SPECIAL","1 Box (2pc)","1750.0","350.0","80","500","1","/categories/kids-special.jpg"
"prod-64","MYL-KDS-08","Bambaram",,"KIDS SPECIAL","1 Box (10 Pcs)","500.0","100.0","80","500","1","/categories/kids-special.jpg"
"prod-65","MYL-KDS-09","Photo Flash",,"KIDS SPECIAL","1 Box (5 Pcs)","300.0","60.0","80","500","1","/categories/kids-special.jpg"
"prod-66","MYL-KDS-10","Insta Selfie",,"KIDS SPECIAL","1 Box (5 Pcs)","675.0","135.0","80","500","1","/categories/kids-special.jpg"
"prod-67","MYL-KDS-11","AK 47 GUN",,"KIDS SPECIAL","1 Box (5 Pcs)","1000.0","200.0","80","500","1","/categories/kids-special.jpg"
"prod-68","MYL-KDS-12","Bahubali Sword",,"KIDS SPECIAL","1 Box","1000.0","200.0","80","500","1","/categories/kids-special.jpg"
"prod-69","MYL-SKY-01","Chotta Fancy",,"Aerial Shots","1 Box (1 Pc)","200.0","40.0","80","500","1","/categories/sky-shots.jpg"
"prod-70","MYL-SKY-02","2"" Fancy",,"Aerial Shots","1 Box (1 Pc)","550.0","110.0","80","500","1","/categories/sky-shots.jpg"
"prod-71","MYL-SKY-03","2"" Fancy (3 Pc)",,"Aerial Shots","1 Box (3 Pcs)","1250.0","250.0","80","500","1","/categories/sky-shots.jpg"
"prod-72","MYL-SKY-04","3.5"" Single Smash",,"Aerial Shots","1 Box (1 Pc)","1600.0","320.0","80","500","1","/categories/sky-shots.jpg"
"prod-73","MYL-SKY-05","3.5"" Knight Series (2 Pc)",,"Aerial Shots","1 Box (2 Pcs)","2800.0","560.0","80","500","1","/categories/sky-shots.jpg"
"prod-74","MYL-SKY-06","3.5"" Double Ball",,"Aerial Shots","1 Box (1 Pc)","2100.0","420.0","80","500","1","/categories/sky-shots.jpg"
"prod-75","MYL-SKY-07","4"" Glory Series",,"Aerial Shots","1 Box (1 Pc)","2300.0","460.0","80","500","1","/categories/sky-shots.jpg"
"prod-76","MYL-SKY-08","4""Twins (2pc)",,"Aerial Shots","1 Box (2Pc)","3950.0","790.0","80","500","1","/categories/sky-shots.jpg"
"prod-77","MYL-SKY-09","4"" Nayagara Falls Gold",,"Aerial Shots","1 Box (1 Pc)","1900.0","380.0","80","500","1","/categories/sky-shots.jpg"
"prod-78","MYL-SKY-10","4"" Nayagara Falls Crackling",,"Aerial Shots","1 Box (1 Pc)","1900.0","380.0","80","500","1","/categories/sky-shots.jpg"
"prod-79","MYL-SKY-11","Diwali Fabulous Celebration (12pipe)",,"Aerial Shots","1 Box (1 Pc)","17500.0","3500.0","80","500","1","/categories/sky-shots.jpg"
"prod-80","MYL-MLT-01","15 Shots Colour",,"Multi Shots","1 Box (1 Pc)","1000.0","200.0","80","500","1","/categories/multi-shots.jpg"
"prod-81","MYL-MLT-02","30 Shots Colour",,"Multi Shots","1 Box (1 Pc)","2000.0","400.0","80","500","1","/categories/multi-shots.jpg"
